,createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,createdAtDate,token0.decimals,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.decimals,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.decimals,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,creator_address
0,13627178,1637073896,0x7286964fcbd18ca78f571f372cc3249a18afe98c,508377000000.0,1.843276155,3.686552311,15985.98501,30.30457634,35,508377000000.0,2021-11-16,9,0x5119c6294a4fd4b36ccc14aa3258f062c075994c,NPC,NPC,508377000000.0,35,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x5119c6294a4fd4b36ccc14aa3258f062c075994c,NPC,NPC,508377000000.0,35,
1,13627145,1637073399,0x65951179f99202e774e23792297bc0cbc6dea429,138866000000.0,1.812223433,3.624446866,15701.28368,15.8113883,14,138866000000.0,2021-11-16,9,0x942bef2fe1411b91a8cc4c6261ef8310c18daf0c,Spidey Verse,SpideyVerse,138866000000.0,14,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x942bef2fe1411b91a8cc4c6261ef8310c18daf0c,Spidey Verse,SpideyVerse,138866000000.0,14,
2,13626983,1637071157,0xfdaba98d69690840028842380e678288594252de,499110635.4,14.79947677,29.59895354,128384.1171,2.645751311,127,499110635.4,2021-11-16,9,0x471ed15e6600875fb56d8d1771f21c2ba821e690,nerf,NERF,499110635.4,127,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x471ed15e6600875fb56d8d1771f21c2ba821e690,nerf,NERF,499110635.4,127,
3,13626956,1637070706,0x49ea7220826b8362490f0052e6082748e24894b0,2718239758.0,4.057308556,8.114617112,35129.87813,3.29986714,211,2718239758.0,2021-11-16,9,0xb3d8d5c6de353b88e539d5b8b5ec6e135ff2388d,Word of Mouth,WOM,2718239758.0,211,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xb3d8d5c6de353b88e539d5b8b5ec6e135ff2388d,Word of Mouth,WOM,2718239758.0,211,
4,13626614,1637065775,0x098e65379ab97251b4b9261fd879acc08186a16b,2.081228307,766.3200086,4.162456615,17938.95417,39.72404813,38,766.3200086,2021-11-16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0xd718ad25285d65ef4d79262a6cd3aea6a8e01023,ROOTx,ROOTx,766.3200086,38,18,0xd718ad25285d65ef4d79262a6cd3aea6a8e01023,ROOTx,ROOTx,766.3200086,38,
5,13626565,1637065251,0x5cefa83746a296d94833685f12251bfc20cc2632,43311556285.0,65.95423277,131.9084655,572194.1934,1688194.302,21,43311556285.0,2021-11-16,18,0xb1106800f955eb29f255b5c72bbd1f2cb0b89c82,Metaverse Spruce,Spruce,43311556285.0,21,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0xb1106800f955eb29f255b5c72bbd1f2cb0b89c82,Metaverse Spruce,Spruce,43311556285.0,21,
6,13626413,1637063208,0xf5049a6319d94b817fb56a63a9dff3f4df1a15a3,599243000000.0,3.550041325,7.100082651,30600.13142,45.39333501,69,599243000000.0,2021-11-16,9,0x3ef93dbd227e5018ed5452182680b3fe432cc58b,Sadaharu Inu,SADAHARU,599243000000.0,69,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x3ef93dbd227e5018ed5452182680b3fe432cc58b,Sadaharu Inu,SADAHARU,599243000000.0,69,
7,13626329,1637062049,0x7de5927fd27149cbb700ac5f882bd6c452b638cd,1020.0,0.1,0.1,424.7751013,10.09950494,1,1020.0,2021-11-16,18,0x0d0f25ea5f1abce4f059e9cfd9d63b60ede4c442,KANION,KACT,1020.0,1,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0x0d0f25ea5f1abce4f059e9cfd9d63b60ede4c442,KANION,KACT,1020.0,1,
8,13626323,1637061994,0x4392d67fda321b33ca04d56bbee8f268257f7476,2189000000000.0,18.43806593,36.87613185,157762.3335,200.0,33,2189000000000.0,2021-11-16,9,0x3e4f6feec5c8739572f680db9f0e65108f34e9e2,McDump,McDump,2189000000000.0,33,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x3e4f6feec5c8739572f680db9f0e65108f34e9e2,McDump,McDump,2189000000000.0,33,
9,13626309,1637061821,0xb687e99c29f49a1713c92e0b83d49d9d20bac9ed,0.012577797,1e-18,2e-18,8.55222e-15,0.0,6,0.012577797,2021-11-16,9,0x2dd740d3ab919f13266585e3b28fa0231d0f3abf,Elon Inu,ELONINU,0.012577797,6,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x2dd740d3ab919f13266585e3b28fa0231d0f3abf,Elon Inu,ELONINU,0.012577797,6,
